scenario,n_old,seed,repeat,features,shrink,touch,q_touch,edges_updated,edges_total,delta_error,weight_error,symmetry_error,batch_delta_error,batch_weight_error,correctness_pass,inc_delta_ms,inc_bookkeeping_ms,inc_w_ms,inc_total_ms,batch_bookkeeping_ms,batch_delta_ms,batch_w_ms,batch_total_ms,input_payload_bytes
ring_control,256,3,3,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.0265,0.074042,0.022541,0.123083,0.066166,0.181,0.148875,0.396041,40452
ring_control,256,3,4,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.019625,0.058333,0.018084,0.096042,0.068458,0.163,0.140208,0.371666,40452
ring_enemy,256,3,0,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,2.220446049250313e-16,True,0.020958,0.064125,0.862667,0.94775,0.076,0.166917,0.147333,0.39025,40452
ring_enemy,256,3,1,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,2.220446049250313e-16,True,0.0355,0.084792,0.849292,0.969584,0.064625,0.183792,0.148208,0.396625,40452
ring_enemy,256,3,2,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,2.220446049250313e-16,True,0.021625,0.057583,0.759084,0.838292,0.067375,0.160166,0.138667,0.366208,40452
ring_enemy,256,3,3,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,2.220446049250313e-16,True,0.055125,0.074209,0.826958,0.956292,0.061792,0.177541,0.13825,0.377583,40452
ring_enemy,256,3,4,16,128,129,258,130,257,0.0,0.0,0.0,1.7763568394002505e-15,2.220446049250313e-16,True,0.025083,0.060542,0.785916,0.871541,0.112667,0.19975,0.152542,0.464959,40452
star_leaf,256,3,0,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.017917,0.056125,0.014167,0.088209,0.059083,0.157625,0.129125,0.345833,40442
star_leaf,256,3,1,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.019791,0.059959,0.014083,0.093833,0.06,0.174625,0.151041,0.385666,40442
star_leaf,256,3,2,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,2.220446049250313e-16,True,0.023125,0.063291,0.01675,0.103166,0.076542,0.176625,0.136583,0.38975,40442
